MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1007034025927,19.073,0.198,94.29100,-7.83706,55157.45913,0
1007034025927,18.836,0.184,94.29100,-7.83722,55517.32235,0
1007034025927,19.146,0.212,94.29134,-7.83691,55517.33797,0
1007034025927,18.913,0.187,94.29099,-7.83688,55599.19135,0
1007034025927,19.005,0.196,94.29099,-7.83690,55599.19764,0
1007034025927,19.251,0.220,94.29117,-7.83685,55599.20394,0
1007034025927,18.954,0.191,94.29094,-7.83673,55599.21019,0
1007034025927,18.779,0.172,94.29112,-7.83731,55889.40125,0
1007034025927,18.979,0.188,94.29146,-7.83710,55889.40906,0
1007034025927,19.167,0.207,94.29073,-7.83669,55889.41701,0
1007034025927,18.956,0.187,94.29101,-7.83698,55889.42493,0
1007034025927,18.950,0.188,94.29109,-7.83709,55922.27177,0
1007034025927,19.190,0.211,94.29102,-7.83680,55922.27788,0
1007034025927,19.123,0.204,94.29110,-7.83681,55922.28409,0
1007034025927,18.894,0.183,94.29089,-7.83697,55922.29031,0
1007034025927,18.814,0.179,94.29121,-7.83699,55979.15790,0
1007034025927,19.026,0.198,94.29075,-7.83713,55979.16465,0
1007034025927,18.912,0.188,94.29087,-7.83662,55979.17136,0
1007034025927,19.068,0.202,94.29128,-7.83688,55979.17810,0
1007034025927,18.846,0.181,94.29092,-7.83715,56008.11160,0
1007034025927,18.734,0.172,94.29117,-7.83696,56008.12073,0
1007034025927,19.092,0.204,94.29060,-7.83680,56008.12979,0
1007034025927,19.194,0.214,94.29085,-7.83687,56008.13888,0
1007034025980,19.911,0.337,94.32161,-7.83566,54830.29593,0
1007034025980,14.682,0.058,94.32318,-7.83462,55157.45356,0
1007034025980,20.643,0.458,94.32252,-7.83333,55157.45913,0
1007034025980,17.467,0.102,94.32105,-7.83634,55922.27177,0
1007034025980,18.774,0.176,94.32148,-7.83615,55979.17810,0
1007034026031,16.550,0.082,94.30029,-7.83977,54830.27443,0
1007034026031,16.536,0.082,94.30026,-7.83979,54830.27983,0
1007034026031,16.607,0.083,94.30034,-7.83976,54830.28523,0
1007034026031,16.517,0.081,94.30029,-7.83978,54830.29053,0
1007034026031,16.550,0.082,94.30029,-7.83979,54830.29593,0
1007034026031,16.585,0.088,94.30027,-7.83968,54527.21398,0
1007034026031,16.590,0.089,94.30030,-7.83975,54527.22118,0
1007034026031,16.571,0.086,94.30028,-7.83972,54527.22838,0
1007034026031,16.575,0.089,94.30018,-7.83969,54527.23557,0
1007034026031,16.562,0.087,94.30027,-7.83980,54794.44231,0
1007034026031,16.510,0.090,94.30032,-7.83980,54794.44623,0
1007034026031,16.523,0.090,94.30026,-7.83982,54794.45014,0
1007034026031,16.561,0.091,94.30026,-7.83978,54794.45407,0
1007034026031,16.619,0.090,94.30026,-7.83981,54794.45801,0
1007034026031,16.580,0.079,94.30030,-7.83982,55157.43709,0
1007034026031,16.634,0.080,94.30027,-7.83981,55157.44256,0
1007034026031,16.579,0.079,94.30027,-7.83976,55157.44802,0
1007034026031,16.212,0.074,94.29990,-7.83961,55157.45356,0
1007034026031,16.550,0.078,94.30031,-7.83982,55157.45913,0
1007034026031,16.544,0.080,94.30035,-7.83979,55517.32235,0
1007034026031,16.574,0.080,94.30027,-7.83982,55517.33275,0
1007034026031,16.550,0.080,94.30030,-7.83982,55517.33797,0
1007034026031,16.546,0.079,94.30033,-7.83980,55599.19135,0
1007034026031,16.534,0.079,94.30029,-7.83972,55599.19764,0
1007034026031,16.539,0.079,94.30028,-7.83978,55599.20394,0
1007034026031,16.571,0.080,94.30031,-7.83975,55599.21019,0
1007034026031,16.602,0.079,94.30027,-7.83979,55889.40125,0
1007034026031,16.600,0.079,94.30023,-7.83979,55889.40906,0
1007034026031,16.541,0.078,94.30027,-7.83980,55889.41701,0
1007034026031,16.638,0.080,94.30022,-7.83979,55889.42493,0
1007034026031,16.610,0.080,94.30030,-7.83978,55922.27177,0
1007034026031,16.623,0.080,94.30020,-7.83980,55922.27788,0
1007034026031,16.558,0.079,94.30025,-7.83979,55922.28409,0
1007034026031,16.598,0.080,94.30025,-7.83978,55922.29031,0
1007034026031,16.548,0.079,94.30022,-7.83981,55979.15790,0
1007034026031,16.555,0.079,94.30027,-7.83979,55979.16465,0
